SpeciesCode
13.0
13.0
13.0
13.0
20.0
13.0
13.0
13.0
13.0
20.0
13.0
13.0
20.0
13.0
13.0
13.0
139.0
20.0
20.0
13.0
13.0
13.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
74.0
20.0
20.0
20.0
13.0
20.0
20.0
20.0
13.0
13.0
13.0
20.0
20.0
13.0
20.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
74.0
13.0
38.0
13.0
20.0
74.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
38.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
38.0
38.0
