PlotKey,TreeKey,SpeciesCode,DBH,TotalHeight,Age_BH
100,cf946e9e-aa2a-40ab-b97b-2b21923b36ee,38,12.2,11.7,0.0
100,f8e614ee-dd4d-4750-b617-5ca121530936,38,8.0,9.1,0.0
100,ffdf2c8e-e921-4b0c-8510-d1ca327f1636,20,18.3,10.3,118.0
100,40fe7cec-5bd1-4cc9-8173-1593d5285b82,20,8.8,10.1,0.0
100,07346418-5858-4373-9286-194929406b3a,20,11.2,10.2,0.0
100,25ddd8ce-2b86-4448-aa05-3baf9c8c29ce,20,12.7,11.1,0.0
100,eb04b1a2-7465-473f-b563-f2f90616e27f,20,11.0,9.3,0.0
100,eaed5fea-e84a-4124-8342-41671094dac3,74,10.3,11.3,0.0
100,03569f00-9446-4ca0-b8f0-166d7ce7c195,20,7.2,6.2,0.0
100,77fb0009-7bb8-4169-91ec-afbb66cf6793,38,11.6,10.5,0.0
100,d17358a4-8e5e-44df-99a9-4fb5e4365a39,20,7.9,8.7,0.0
100,8d8eeebc-f45e-4c0e-9cc0-5932574fdb49,13,8.1,4.9,0.0
100,412fe4f7-bb5f-4d7a-8761-034e966909b7,20,14.1,10.0,0.0
100,1eda6315-84c5-429e-bf57-1375bfc6a100,20,9.0,5.1,0.0
100,5aaa612b-5f00-4b77-a876-38f44d2d2e05,20,10.9,7.7,0.0
100,486a0e18-0413-48bd-af57-21cbc73761e3,20,10.0,7.6,0.0
100,18c99c79-37dd-4434-ba28-9a645cd9bd9b,20,12.4,7.3,0.0
100,5481f1a7-deb4-4295-915f-8791931dc28f,20,10.2,7.2,0.0
100,b6bec6c8-5b41-4345-9657-4160e759f245,74,10.2,11.8,0.0
100,822b5475-0393-488d-bd51-ec76e4bc5b48,74,12.9,13.6,0.0
100,c3317f08-066f-41e6-ab91-b5aea39b2027,13,25.7,12.4,26.0
100,f6b87350-7f5c-49d0-8039-ba6a5e40b33f,38,13.3,10.0,0.0
100,9c894a4a-7bfa-40fa-b4b9-7400bfbd5068,38,7.6,9.8,0.0
100,31b5ba88-cc6f-4058-a2b4-d34390c11ca8,38,23.0,10.5,0.0
100,9741d5ca-ddd1-48db-a205-445aa02ab34b,38,12.3,12.4,0.0
100,8584d15e-195d-4dff-8732-797ee97cbfd6,13,21.8,14.5,0.0
100,06f52009-1a66-48d0-8cdd-a145f8a15242,20,9.5,11.7,0.0
100,9a764c63-b592-40a7-8b07-4bffb51f90cd,20,10.3,10.1,0.0
100,35fe4c47-a78a-4f0c-a2ca-d2376a690eeb,38,10.3,10.5,0.0
100,5d61f7cd-12fc-45a5-80f4-b18e53cfc14f,20,14.4,12.1,0.0
100,5e47050f-bd4b-4e4f-abbd-d4862d0e0280,20,16.8,12.8,0.0
100,edab7ee8-6093-48ce-a120-447f7cef0b99,20,15.3,8.4,0.0
100,7e1406c7-d376-4840-ae47-3cb18dfe05e8,20,13.3,9.3,0.0
100,869dada2-18c0-4826-8885-dd4df40f4608,20,7.8,9.2,0.0
100,e0846acc-d659-4fc8-b082-b608dae06072,20,9.7,9.0,0.0
100,fdddbce9-1841-43c7-8c89-0cd7201a5e63,20,9.0,10.7,0.0
100,cdac68e6-1f3e-4e59-8351-fb3c9eb81294,20,8.6,10.4,0.0
100,fd703248-fd58-411c-be03-3b2128ce4a86,20,7.5,8.0,0.0
100,b130afb1-5b11-479b-8378-8ec0b2069f16,20,8.5,10.0,0.0
100,16de2cab-5bb8-4753-8560-b81d5aa9fe1b,20,17.3,11.8,0.0
100,3bd091ad-bb17-4758-8fb2-622f002cb24a,20,8.4,10.1,0.0
100,9ed4af7c-e4cb-4a8c-bf90-614c9521a5fa,20,15.9,12.3,0.0
100,016d9c14-ef58-4c79-90cc-e9cf7ccc1913,20,14.3,12.6,0.0
100,cf488e8e-aae1-4dc9-84f7-a5ddad58ec46,20,12.5,12.1,0.0
100,afaafffd-f458-4da4-be1e-4f18f2f15d36,74,9.2,10.4,0.0
100,05d80c01-3ca1-47d3-b5a7-e37822466546,20,7.3,8.9,0.0
100,ad8f4ce1-8514-4630-ade0-f0ae8b3776cd,20,8.4,9.7,0.0
